AF3; T7; Pz; T8; AF4; Tempo
4303.58974373;4794.23077042;4398.20512856;4306.79487194;4401.02564138;2022-01-21 11:46:45.854510
4302.94871809;4761.92307804;4368.84615413;4366.15384644;4372.82051310;2022-01-21 11:46:45.859508
4301.66666681;4766.79487291;4367.56410285;4372.43589772;4398.84615420;2022-01-21 11:46:45.869470
4303.07692322;4825.76923202;4400.76923112;4206.79487173;4432.05128247;2022-01-21 11:46:45.878483
4307.30769245;4797.56410375;4403.97435933;4110.25640998;4432.69230811;2022-01-21 11:46:45.885431
4302.94871809;4765.51282163;4371.53846182;4236.28205129;4404.48717984;2022-01-21 11:46:45.889417
4302.56410271;4793.46153965;4367.05128233;4269.61538469;4400.51282086;2022-01-21 11:46:45.900387
4303.33333348;4795.64102683;4373.20512849;4268.84615392;4400.89743625;2022-01-21 11:46:45.906371
4302.56410271;4765.64102676;4372.69230797;4338.84615406;4400.38461574;2022-01-21 11:46:45.917378
4302.56410271;4765.64102676;4372.69230797;4338.84615406;4400.38461574;2022-01-21 11:46:45.928335
4301.02564117;4764.74359086;4398.46153881;4366.66666695;4400.89743625;2022-01-21 11:46:45.929346
4301.28205142;4797.69230888;4372.69230797;4303.33333348;4373.07692336;2022-01-21 11:46:45.934298
4302.56410271;4793.07692426;4373.07692336;4366.15384644;4398.07692343;2022-01-21 11:46:45.945270
4300.76923091;4758.97436009;4372.17948746;4336.28205149;4398.07692343;2022-01-21 11:46:45.954697
4303.20512835;4793.84615503;4398.33333368;4302.30769245;4397.94871830;2022-01-21 11:46:45.959684
4303.33333348;4825.76923202;4373.07692336;4334.61538483;4371.02564131;2022-01-21 11:46:45.970653
4274.61538469;4762.56410368;4398.58974394;4307.05128219;4398.71794907;2022-01-21 11:46:45.973649
4302.05128219;4729.48718053;4371.41025669;4205.25641019;4400.25641061;2022-01-21 11:46:45.986654
4307.17948732;4766.53846265;4372.69230797;4169.87179474;4402.69230804;2022-01-21 11:46:45.990608
4304.10256425;4825.76923202;4372.17948746;4235.25641026;4399.48717984;2022-01-21 11:46:46.002609
4303.46153860;4794.74359093;4398.07692343;4238.58974359;4400.12820548;2022-01-21 11:46:46.008600
4304.35897450;4758.97436009;4399.87179522;4176.28205115;4401.66666702;2022-01-21 11:46:46.019571
4305.12820527;4792.05128324;4400.89743625;4202.05128199;4400.51282086;2022-01-21 11:46:46.022522
4301.02564117;4826.53846279;4400.12820548;4301.79487194;4399.74359009;2022-01-21 11:46:46.036485
4303.07692322;4766.92307804;4370.64102592;4338.20512842;4371.53846182;2022-01-21 11:46:46.038479
4301.15384630;4761.79487291;4368.46153874;4334.10256431;4370.89743618;2022-01-21 11:46:46.052442
4301.66666681;4795.38461657;4369.87179515;4304.74358989;4371.15384644;2022-01-21 11:46:46.055434
4301.28205142;4763.71794983;4399.10256445;4366.02564131;4401.02564138;2022-01-21 11:46:46.062415
4273.20512828;4759.74359086;4369.48717977;4366.28205156;4400.25641061;2022-01-21 11:46:46.072389
4272.56410264;4797.82051401;4369.87179515;4366.28205156;4401.92307727;2022-01-21 11:46:46.073422
4272.17948725;4826.79487305;4368.58974387;4366.79487208;4401.15384651;2022-01-21 11:46:46.089343
4273.33333341;4762.82051394;4368.07692336;4369.35897464;4404.35897471;2022-01-21 11:46:46.094336
4272.17948725;4732.17948823;4365.38461567;4369.61538490;4403.84615420;2022-01-21 11:46:46.101318
4271.79487187;4766.66666778;4370.64102592;4367.69230797;4403.07692343;2022-01-21 11:46:46.113279
4272.43589751;4798.20512939;4371.02564131;4339.87179508;4401.66666702;2022-01-21 11:46:46.123253
4274.61538469;4792.94871913;4370.89743618;4337.82051303;4402.82051317;2022-01-21 11:46:46.124252
4300.64102578;4762.82051394;4370.76923105;4366.92307720;4398.20512856;2022-01-21 11:46:46.136341
4302.69230784;4765.64102676;4372.17948746;4365.38461567;4370.64102592;2022-01-21 11:46:46.141332
4302.82051296;4760.89743701;4399.10256445;4333.07692329;4372.43589772;2022-01-21 11:46:46.152298
4306.02564117;4759.87179599;4398.20512856;4332.94871816;4398.46153881;2022-01-21 11:46:46.160510
4299.48717963;4764.10256522;4372.05128233;4365.64102592;4398.71794907;2022-01-21 11:46:46.168454
4299.87179501;4762.94871906;4368.20512849;4332.43589765;4370.51282079;2022-01-21 11:46:46.172443
4301.28205142;4767.05128317;4367.69230797;4303.97435912;4369.23076951;2022-01-21 11:46:46.186420
4304.35897450;4825.38461664;4368.07692336;4305.64102578;4369.74359003;2022-01-21 11:46:46.186420
4299.87179501;4766.66666778;4372.43589772;4305.25641040;4399.61538497;2022-01-21 11:46:46.201365
4300.51282066;4733.84615489;4372.43589772;4266.66666674;4398.20512856;2022-01-21 11:46:46.201365
4305.64102578;4762.43589855;4398.84615420;4267.43589751;4400.51282086;2022-01-21 11:46:46.213208
4300.64102578;4792.69230888;4371.28205156;4338.33333355;4369.74359003;2022-01-21 11:46:46.218580
4301.92307707;4799.23077042;4398.07692343;4336.66666688;4370.00000028;2022-01-21 11:46:46.223570
4305.76923091;4795.76923195;4372.05128233;4171.79487166;4373.20512849;2022-01-21 11:46:46.236532
4333.71794893;4733.58974464;4372.43589772;4172.30769217;4401.41025676;2022-01-21 11:46:46.241520
4301.02564117;4762.56410368;4367.43589772;4365.51282079;4373.20512849;2022-01-21 11:46:46.252528
4301.66666681;4827.05128331;4366.53846182;4372.82051310;4400.76923112;2022-01-21 11:46:46.261465
4300.76923091;4795.51282170;4367.17948746;4333.58974380;4404.61538497;2022-01-21 11:46:46.268463
4271.79487187;4765.12820624;4367.17948746;4365.38461567;4402.94871830;2022-01-21 11:46:46.275479
4271.15384623;4766.66666778;4367.94871823;4368.71794900;4404.23076958;2022-01-21 11:46:46.284553
4273.20512828;4759.74359086;4368.58974387;4337.69230790;4404.74359009;2022-01-21 11:46:46.288542
4270.51282059;4733.33333438;4371.66666695;4398.07692343;4404.48717984;2022-01-21 11:46:46.299513
4299.48717963;4795.76923195;4370.38461567;4371.79487208;4400.25641061;2022-01-21 11:46:46.304500
