AF3; T7; Pz; T8; AF4; Tempo
4272.69230777;4733.07692412;4273.07692315;4470.89743639;4372.30769259;2022-01-21 12:14:32.082577
4272.69230777;4761.92307804;4273.97435905;4469.87179536;4371.41025669;2022-01-21 12:14:32.095581
4272.56410264;4760.00000112;4273.84615392;4470.25641075;4369.87179515;2022-01-21 12:14:32.097541
4273.20512828;4733.33333438;4302.05128219;4498.58974415;4371.66666695;2022-01-21 12:14:32.109518
4271.02564110;4764.48718060;4300.76923091;4471.02564152;4368.58974387;2022-01-21 12:14:32.113508
4272.82051289;4793.07692426;4302.30769245;4500.51282107;4339.48717970;2022-01-21 12:14:32.117484
4273.71794879;4793.20512939;4301.28205142;4497.43589800;4366.15384644;2022-01-21 12:14:32.128490
4269.87179495;4794.74359093;4269.74358982;4435.51282093;4370.76923105;2022-01-21 12:14:32.135465
4274.74358982;4766.15384727;4240.00000000;4499.61538518;4366.02564131;2022-01-21 12:14:32.146408
4334.10256431;4759.35897547;4268.84615392;4433.46153888;4368.71794900;2022-01-21 12:14:32.150446
4365.64102592;4791.92307811;4270.12820520;4143.07692287;4398.84615420;2022-01-21 12:14:32.164395
4365.64102592;4762.17948830;4269.35897443;4205.12820506;4373.20512849;2022-01-21 12:14:32.167350
4339.48717970;4698.33333431;4267.56410264;4471.15384664;4340.25641047;2022-01-21 12:14:32.177325
4337.05128226;4731.66666771;4267.56410264;4497.05128261;4365.38461567;2022-01-21 12:14:32.183310
4337.17948739;4792.30769349;4268.33333341;4402.43589779;4339.61538483;2022-01-21 12:14:32.194279
4336.79487201;4727.30769335;4299.74358989;4467.82051331;4336.02564124;2022-01-21 12:14:32.194279
4304.61538476;4693.46153944;4240.76923077;4436.53846196;4332.94871816;2022-01-21 12:14:32.210236
4306.41025655;4793.20512939;4236.92307693;4399.87179522;4333.46153867;2022-01-21 12:14:32.214226
4304.48717963;4826.02564228;4332.30769252;4471.02564152;4333.46153867;2022-01-21 12:14:32.225247
4306.41025655;4733.84615489;4339.10256431;4498.20512876;4334.10256431;2022-01-21 12:14:32.232217
4303.58974373;4730.12820617;4304.87179501;4471.28205177;4336.53846175;2022-01-21 12:14:32.245143
4332.69230790;4796.02564221;4301.53846168;4471.02564152;4337.05128226;2022-01-21 12:14:32.245483
4300.00000014;4826.02564228;4332.30769252;4500.51282107;4339.35897457;2022-01-21 12:14:32.248479
4268.97435905;4767.05128317;4271.53846161;4470.51282100;4339.87179508;2022-01-21 12:14:32.262477
4271.02564110;4729.87179592;4268.58974366;4468.97435946;4369.74359003;2022-01-21 12:14:32.269453
4274.35897443;4762.30769342;4269.61538469;4468.58974408;4369.10256438;2022-01-21 12:14:32.279432
4272.56410264;4794.87179606;4267.43589751;4467.69230818;4369.10256438;2022-01-21 12:14:32.286410
4270.00000007;4761.92307804;4240.51282052;4465.89743639;4367.43589772;2022-01-21 12:14:32.296385
4274.48717956;4734.10256515;4267.82051289;4467.05128254;4371.92307720;2022-01-21 12:14:32.299379
4271.92307700;4763.20512932;4238.46153847;4467.30769280;4370.25641054;2022-01-21 12:14:32.311348
4272.30769238;4727.94871899;4239.35897436;4465.38461587;4370.12820541;2022-01-21 12:14:32.313456
4272.82051289;4698.58974457;4300.12820527;4470.00000049;4369.10256438;2022-01-21 12:14:32.328419
4272.05128212;4792.56410375;4303.97435912;4470.64102613;4368.97435926;2022-01-21 12:14:32.332835
4273.46153853;4794.35897554;4271.41025648;4465.00000049;4368.33333362;2022-01-21 12:14:32.346797
4273.07692315;4731.92307797;4266.79487187;4437.30769273;4367.30769259;2022-01-21 12:14:32.346797
4299.48717963;4727.82051387;4269.10256418;4465.12820562;4366.79487208;2022-01-21 12:14:32.359762
4303.71794886;4733.07692412;4267.69230777;4438.71794914;4339.87179508;2022-01-21 12:14:32.363751
4303.84615399;4793.71794990;4268.84615392;4463.58974408;4339.61538483;2022-01-21 12:14:32.375950
4307.43589758;4826.02564228;4270.38461546;4465.25641075;4338.07692329;2022-01-21 12:14:32.382925
4305.64102578;4793.46153965;4268.07692315;4466.02564152;4337.69230790;2022-01-21 12:14:32.393898
4306.79487194;4764.87179599;4240.89743590;4436.28205170;4337.56410278;2022-01-21 12:14:32.398885
4303.71794886;4764.10256522;4267.17948725;4433.97435940;4366.02564131;2022-01-21 12:14:32.403871
4306.53846168;4763.71794983;4236.15384616;4402.56410292;4338.46153867;2022-01-21 12:14:32.412864
4306.02564117;4760.38461650;4267.05128212;4431.41025683;4337.56410278;2022-01-21 12:14:32.419827
4305.38461553;4733.58974464;4273.20512828;4436.53846196;4335.51282073;2022-01-21 12:14:32.429801
4332.82051303;4759.87179599;4300.76923091;4465.76923126;4334.87179508;2022-01-21 12:14:32.433789
4303.20512835;4760.12820624;4301.41025655;4471.15384664;4307.43589758;2022-01-21 12:14:32.443764
4301.02564117;4726.53846258;4332.94871816;4498.33333389;4335.38461560;2022-01-21 12:14:32.450744
